symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
QQQ,strategy10_scalp,2025-09-17,09:58:00,11:17:00,590.26,589.167,33,590.717,0.0,36.07,2.392,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-18,09:45:00,09:50:00,593.57,595.0685,33,595.0585,0.0,-49.45,-1.007,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-18,12:12:00,13:34:00,596.36,596.5915,33,594.8715,0.0,7.64,0.156,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-09-19,09:56:00,10:20:00,598.25,597.122,33,597.132,0.0,-37.22,-1.009,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-09-19,11:19:00,11:56:00,596.33,597.248,33,597.238,0.0,-30.29,-1.011,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-22,09:55:00,15:41:00,599.3,602.065,33,598.33,0.0,91.25,2.851,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-09-23,09:41:00,15:45:00,601.47,598.315,33,602.525,0.0,104.12,2.991,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-24,09:59:00,12:43:00,597.72,595.249,33,598.779,0.0,81.54,2.333,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-25,09:52:00,10:06:00,589.87,591.444,33,591.434,0.0,-51.94,-1.006,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-25,10:19:00,10:48:00,592.61,594.024,33,594.014,0.0,-46.66,-1.007,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-26,10:01:00,10:06:00,595.94,594.4435,33,594.4535,0.0,-49.38,-1.007,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-09-26,10:25:00,10:40:00,592.29,593.6315,33,593.6215,0.0,-44.27,-1.008,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-29,12:04:00,14:14:00,598.635,599.354,33,599.569,0.0,-23.73,-0.77,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-30,09:38:00,09:44:00,596.87,597.884,33,597.874,0.0,-33.46,-1.01,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-09-30,10:12:00,10:16:00,596.66,597.414,33,597.404,0.0,-24.88,-1.013,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-01,11:37:00,15:50:00,600.98,603.53,33,600.249,0.0,84.15,3.488,eod_flat,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-02,09:40:00,11:57:00,605.0,604.91,33,606.575,0.0,2.97,0.057,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-02,12:08:00,15:50:00,604.56,605.91,33,603.045,0.0,44.55,0.891,eod_flat,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-03,09:59:00,10:40:00,605.77,606.153,33,606.663,0.0,-12.64,-0.429,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-03,14:01:00,14:19:00,602.18,603.363,33,603.353,0.0,-39.04,-1.009,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-06,09:38:00,09:43:00,607.71,606.7214,32,606.7314,0.0,-31.63,-1.01,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-06,09:52:00,10:21:00,606.73,607.644,32,607.634,0.0,-29.25,-1.011,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-07,09:56:00,10:02:00,609.64,608.951,32,608.961,0.0,-22.05,-1.015,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-07,10:12:00,10:15:00,609.55,609.011,32,609.021,0.0,-17.25,-1.019,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-08,09:52:00,15:50:00,607.25,610.93,32,606.022,0.0,117.76,2.997,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-09,09:52:00,11:15:00,610.34,610.099,32,611.369,0.0,7.71,0.234,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-10,09:36:00,10:16:00,611.96,611.267,32,611.197,0.0,-22.18,-0.908,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-13,10:05:00,10:57:00,601.56,597.687,33,597.697,0.0,-127.81,-1.003,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-14,10:25:00,13:01:00,596.5,600.708,33,594.758,0.0,138.86,2.416,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-14,15:46:00,15:46:00,596.88,597.812,33,597.802,0.0,-30.76,-1.011,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-15,09:34:00,11:32:00,603.4,604.764,33,601.434,0.0,45.01,0.694,trail_stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-15,12:46:00,13:45:00,602.01,600.316,33,603.966,0.0,55.9,0.866,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-16,10:41:00,11:26:00,607.31,605.613,32,605.623,0.0,-54.3,-1.006,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-16,11:41:00,12:56:00,604.16,601.547,33,606.097,0.0,86.23,1.349,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-17,10:03:00,10:36:00,600.81,599.909,33,597.989,0.0,-29.73,-0.319,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-20,09:52:00,15:21:00,609.76,611.4761,32,608.216,0.0,54.92,1.111,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-21,09:48:00,10:20:00,610.14,611.1135,32,611.1235,0.0,-31.15,-0.99,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-21,11:54:00,12:53:00,612.18,611.5464,32,611.1465,0.0,-20.28,-0.613,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-22,10:24:00,10:55:00,609.09,607.9501,32,609.6601,0.0,36.48,1.999,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-22,11:03:00,11:45:00,608.59,606.4601,32,609.1401,0.0,68.16,3.872,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-23,09:41:00,15:50:00,606.42,610.81,32,604.403,0.0,140.48,2.176,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-24,09:42:00,09:50:00,617.07,615.955,32,615.965,0.0,-35.68,-1.009,stop,orh_break_retest_long,long
