symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason
QQQ,orb,2026-05-01,10:00:00,15:50:00,674.99,674.89,29,668.8,687.37,-2.9,-0.016,eod_flat,orb_break_673.07
QQQ,orb,2026-05-04,10:00:00,11:15:00,675.61,673.54,29,673.55,679.73,-60.03,-1.005,stop,orb_break_675.39
QQQ,orb,2026-05-05,10:00:00,15:50:00,680.24,681.84,29,677.51,685.7,46.4,0.586,eod_flat,orb_break_680.20
QQQ,orb,2026-05-06,09:55:00,15:50:00,690.3,694.49,28,686.48,697.94,117.32,1.097,eod_flat,orb_break_689.97
QQQ,orb,2026-05-07,09:55:00,10:45:00,697.4699,700.5597,28,695.92,700.5697,86.51,1.994,target,orb_break_697.34
QQQ,orb,2026-05-08,09:50:00,15:50:00,704.4101,710.21,28,699.5,714.2303,162.4,1.181,eod_flat,orb_break_702.76
QQQ,orb,2026-05-13,10:55:00,15:50:00,710.59,715.82,28,707.34,717.09,146.44,1.609,eod_flat,orb_break_709.97
QQQ,orb,2026-05-14,09:50:00,15:50:00,719.22,720.46,27,714.22,729.22,33.48,0.248,eod_flat,orb_break_718.35
QQQ,orb,2026-05-15,10:15:00,15:50:00,710.69,710.59,28,707.07,717.93,-2.8,-0.028,eod_flat,orb_break_710.42
QQQ,orb,2026-05-20,10:20:00,15:50:00,707.58,712.25,28,704.11,714.52,130.76,1.346,eod_flat,orb_break_707.50
QQQ,orb,2026-05-21,09:55:00,10:20:00,710.82,707.93,28,707.94,716.58,-80.92,-1.003,stop,orb_break_710.24
QQQ,orb,2026-05-26,09:50:00,15:50:00,727.7,730.61,27,724.16,734.78,78.57,0.822,eod_flat,orb_break_726.83
QQQ,orb,2026-05-28,10:15:00,15:50:00,732.22,735.85,27,727.0405,742.579,98.01,0.701,eod_flat,orb_break_731.12
QQQ,orb,2026-05-29,09:50:00,10:25:00,740.38,737.42,27,737.43,746.28,-79.92,-1.003,stop,orb_break_739.78
QQQ,orb,2026-06-01,11:20:00,15:50:00,740.14,742.79,27,736.29,747.84,71.55,0.688,eod_flat,orb_break_740.01
QQQ,orb,2026-06-02,10:00:00,15:50:00,743.55,745.97,26,739.23,752.19,62.92,0.56,eod_flat,orb_break_742.69
QQQ,orb,2026-06-04,11:05:00,15:50:00,737.855,741.84,27,734.07,745.425,107.6,1.053,eod_flat,orb_break_737.81
QQQ,orb,2026-06-08,10:40:00,15:20:00,719.25,714.67,27,714.68,728.39,-123.66,-1.002,stop,orb_break_719.21
QQQ,orb,2026-06-09,09:50:00,10:00:00,725.63,720.48,27,720.49,735.91,-139.05,-1.002,stop,orb_break_723.79
QQQ,orb,2026-06-10,09:50:00,11:10:00,708.76,699.61,28,699.62,727.04,-256.2,-1.001,stop,orb_break_707.43
QQQ,orb,2026-06-11,09:50:00,10:55:00,700.82,696.81,28,696.82,708.82,-112.28,-1.002,stop,orb_break_700.38
QQQ,orb,2026-06-12,10:10:00,15:50:00,719.64,720.93,27,712.01,734.9,34.83,0.169,eod_flat,orb_break_717.76
QQQ,orb,2026-06-15,09:50:00,15:50:00,741.59,743.69,26,737.38,750.01,54.6,0.499,eod_flat,orb_break_740.45
QQQ,orb,2026-06-16,09:50:00,10:15:00,743.58,740.81,26,740.82,749.1,-72.02,-1.004,stop,orb_break_743.49
QQQ,orb,2026-06-17,10:25:00,10:40:00,735.52,732.14,27,732.15,742.26,-91.26,-1.003,stop,orb_break_735.27
QQQ,orb,2026-06-18,10:25:00,15:50:00,738.01,741.34,27,732.51,749.01,89.91,0.605,eod_flat,orb_break_737.65
QQQ,orb,2026-06-22,10:00:00,10:25:00,744.61,740.42,26,740.43,752.97,-108.94,-1.002,stop,orb_break_744.44
QQQ,orb,2026-06-23,09:50:00,14:45:00,718.13,713.27,27,713.28,727.83,-131.22,-1.002,stop,orb_break_717.81
QQQ,orb,2026-06-24,11:00:00,12:55:00,719.58,712.73,27,712.74,733.26,-184.95,-1.001,stop,orb_break_718.50
QQQ,orb,2026-06-26,10:00:00,15:50:00,709.15,710.89,28,702.81,721.83,48.72,0.274,eod_flat,orb_break_707.39
QQQ,orb,2026-06-30,09:55:00,15:50:00,730.2799,736.88,27,723.91,743.0197,178.2,1.036,eod_flat,orb_break_729.45
QQQ,orb,2026-07-01,10:00:00,15:50:00,730.25,726.5,27,725.52,739.71,-101.25,-0.793,eod_flat,orb_break_729.71
QQQ,orb,2026-07-02,09:55:00,10:25:00,729.36,723.861,27,723.871,740.338,-148.47,-1.002,stop,orb_break_728.23
QQQ,orb,2026-07-06,09:50:00,15:50:00,722.69,724.54,27,718.45,731.17,49.95,0.436,eod_flat,orb_break_722.29
QQQ,orb,2026-07-09,09:55:00,10:20:00,722.03,716.49,27,716.5,733.09,-149.58,-1.002,stop,orb_break_721.30
SPY,orb,2024-07-02,10:55:00,15:50:00,545.87,547.91,36,543.65,550.31,73.44,0.919,eod_flat,orb_break_545.68
SPY,orb,2024-07-03,10:00:00,12:50:00,549.59,551.46,36,548.65,551.47,67.32,1.989,target,orb_break_549.44
